Generating Match Report...
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 03_19_2025 5.pdf | Page 5 | Context: Jake Wray and were able to arrest a suspect without orGooglePlayAppstores.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_16_2025 1.pdf | Page 13 | Context: Jake Wray cessful tenancy.”
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 1 | Context: candidate Taylor Bachrach. See story on page 7. (Jake Wray photo/LaKes District News0
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 7 | Context: Jake Wray vincial jurisdiction but his people with serious addic- House sits and you get rid
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_23_2025 1.pdf | Page 13 | Context: (Jake Wray photo/Lakes District News) Thursday nights 6:30-8:00pm
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 3 | Context: Jake Wray before the vote was to take place, voiced concerns The post drew several comments critical of Walter&TinaTurner
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 5 | Context: Jake Wray and who is also accused of using a vehicle to or storage of a firearm and possessing a
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 6 | Context: Jake Wray Program runs from April 8 to June 30, 2025,
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 7 | Context: Jake Wray hectares, but that could change as more infor- God
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 04_30_2025 1.pdf | Page 19 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 2 | Context: Jake Wray counted, pressure is mounting closures have indeed seemed to stop
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 3 | Context: Jake Wray unpaved and are currently used for overflow of three bids at $954,604.46, securing the con-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 6 | Context: Open:Mo F n ri 8 & :0 S 0 a a t m :8 -6 :0 :3 0 0 a p m m -8 • :0 T 0 u p e m sto • T C h lo u s rs e : d 8 S : u 0 n 0 d a a m y -7:30pm Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 10 | Context: Jake Wray ry Group Ltd., which will transport low-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_07_2025 1.pdf | Page 13 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_14_2025 1.pdf | Page 2 | Context: Seeshowroomfordetails Jake Wray “These bags do not include pre- The harm-reduction supplies may
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_14_2025 1.pdf | Page 3 | Context: Jake Wray Cut & wrap
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_14_2025 1.pdf | Page 4 | Context: Jake Wray and energy corridors working in partnership On the other hand, Poilievre worked why people love them
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_14_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_14_2025 1.pdf | Page 20 | Context: Jake Wray a colour-coding system to indicate air quality risk
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 1 | Context: Jake Wray that dressing room thought we were out of it. We to 22 wins, one loss, and two ties since forming as The roster includes more than two dozen players
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 2 | Context: Jake Wray the 1980s—are struggling to re- Fort Fraser halls in Area D; Grassy
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 3 | Context: Jake Wray accessible community by improving infra-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_21_2025 1.pdf | Page 7 | Context: Jake Wray disruptions will be minimal during prioritize maintenance or replace- after which residents’ taps will offers only a craving for physical pleasure,
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 05_28_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_04_2025 1.pdf | Page 2 | Context: Jake Wray in the pipeline, allowing more Energy, said during a May 1 confer- III estimate on the expansion that they gion from environmental, Indigenous,
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_04_2025 1.pdf | Page 3 | Context: Jake Wray School District 91 will hire two new full-time YourHosts:
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_04_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_04_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_04_2025 1.pdf | Page 9 | Context: Jake Wray including customized solutions for institutions TROPHYRAINBOWFISHING
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 2 | Context: Jake Wray drugs in the vehicle. Police arrested cocaine, psilocybin, various prescrip-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 3 | Context: Jake Wray is one of the most fundamental roles nurses (4modern,7rustic)
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 5 | Context: Jake Wray a one-window permitting authority for the NCTL
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 6 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 7 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 9 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_11_2025 1.pdf | Page 10 | Context: Jake Wray “I wanted to be part of the Burns Lake com-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 2 | Context: Jake Wray brought in a skate park consultant to con- students and will be doing pop-up engagement improvements, Jones said the Village wants
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 3 | Context: Jake Wray to for disturbances, fights, medical events and intoxi-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 6 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_18_2025 1.pdf | Page 7 | Context: Jake Wray community engagement and celebrate local Lake Hall. Community members are invited
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 1 | Context: Jake Wray broken his lawnmower. Wiebe said in an switches in place. So if you fall off your people will attend.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 2 | Context: Jake Wray drews Bay, is now under control. By the June 16 update, a full fire camp
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 4 | Context: Jake Wray eye on their pets and report any suspicious
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 5 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 6 | Context: BurgerFamily District Hospital’s ER for extended periods. With files from Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 06_25_2025 1.pdf | Page 10 | Context: housewares, crafting supplies and so much Jake Wray be a pig roast scheduled for 5:30 p.m., featuring two
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_02_2025 1.pdf | Page 2 | Context: Jake Wray and 22, the event began with a sold- as Dawson Creek.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_02_2025 1.pdf | Page 3 | Context: Jake Wray community.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_02_2025 1.pdf | Page 4 | Context: 23-3rd Avenue, Box 309, Burns Lake, BC V0J 1E0 MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_02_2025 1.pdf | Page 5 | Context: Jake Wray nup, a Victoria-based firm that special- arrival to the Transfer Station.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_02_2025 1.pdf | Page 14 | Context: OilChanges Jake Wray Several grants-in-aid were approved at the meet-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 2 | Context: Jake Wray Referencing a recent statement that “facing our failures makes us
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 5 | Context: Jake Wray Planned work includes resurfacing and wid- annually. includes relocating and rebuilding the east
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 6 | Context: andespeciallywithhumanitythatHecreated Jake Wray According to the Village’s official request for
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_09_2025 1.pdf | Page 7 | Context: Jake Wray workshop facilitated by Willow Fehr at their next WLRSuptoAugust9,2025.WLRSmaynotbeableto
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_16_2025 1.pdf | Page 1 | Context: Jake Wray ducted through the Foreshore Integrated Man- that the foreshore is broken into segments for “There’s report writing, a lot of desktop re-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_16_2025 1.pdf | Page 2 | Context: Jake Wray he started volunteering He also remembers He encouraged son wrote. “He struck a
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_16_2025 1.pdf | Page 3 | Context: Jake Wray Lake has implementing its rules Watering is only allowed be- permitted to water on odd-num-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_16_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_23_2025 1.pdf | Page 1 | Context: Jake Wray years… it fell apart. We had people putting foot “A Tesla made it up there on Sunday,” Lober- encouraged the club to apply for funds to train
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_23_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_30_2025 1.pdf | Page 1 | Context: Jake Wray to approximately 126,000 hectares of the Na- metres of forest tenure. That goal was laid out in our area of influence. It’s a flexible agreement
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_30_2025 1.pdf | Page 2 | Context: Jake Wray George for repair. The part is ex- days only and the Village has asked complete. The Village says they are collection and thanked the District of
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 07_30_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 3 | Context: Jake Wray final project agreement could be worth over $1.4 “We believe the Term Sheets as executed provide
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 5 | Context: Jake Wray That growth eventually led to the formation
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 7 | Context: both the province’s economy and clean-energy Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_06_2025 1.pdf | Page 10 | Context: Jake Wray is talking about a Facebook page, so clearly,
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 1 | Context: Jake Wray to the BC Wildfire Service website. five east of Francois Lake, including four fires within its borders and working closely
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 2 | Context: Jake Wray doctors to remain constantly Village of Burns Lake council earlier priority for council, and we continue closures were recently mentioned at a
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 3 | Context: Jake Wray mine exactly what component of giftgallery 321CHwy16,BurnsLake
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 7 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_13_2025 1.pdf | Page 8 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 1 | Context: Jake Wray were worth any inconvenience. “Our clients are still finding us no prob- “This project is a strategic component of
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 2 | Context: Jake Wray required the Nation to purchase
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 3 | Context: Jake Wray PPrroocceessss 44 GGaalllleerryy
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 5 | Context: Jake Wray Northern Health said in a previous state-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 6 | Context: Burn 5 s 03 La B k C e -1 A 6 &W Jake Wray ship to address ongoing concerns about letter inviting Northern Health’s senior
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_20_2025 1.pdf | Page 7 | Context: Jake Wray is improving internet access for homes and
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 2 | Context: Jake Wray throughout 2025 so as not to add vices, news, events, emergency alerts,
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 3 | Context: Jake Wray ty halls in another way. kind of ‘okay.’” LakeLodgesitsnestlednearthebaseofthepicturesque
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 5 | Context: Jake Wray the farmer’s market), a Facebook post from
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 7 | Context: Jake Wray the dock July 28 and posted to Instagram Friendship Centre Houston Office for as-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 08_27_2025 1.pdf | Page 8 | Context: Jake Wray in Terrace, one in Prince George. Now, The initiative is spearheaded by Car-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_03_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_10_2025 1.pdf | Page 1 | Context: Jake Wray step in a process that began in 2015, with economic development, ties local priorities to continue working with industry, federal
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_10_2025 1.pdf | Page 3 | Context: Jake Wray Under the agreement, the Village of Burns interpretive panels and community banners— sight of her bathing, committed adultery with
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_10_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_17_2025 1.pdf | Page 3 | Context: Jake Wray www.ldfestival.com 250-695-6699.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_17_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_17_2025 1.pdf | Page 5 | Context: Jake Wray access and increase the quality and quantity WorkSafe BC regulations for asbestos that may be
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_24_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_24_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_24_2025 1.pdf | Page 5 | Context: societies—has confirmed the timeline remains approximately $5.2 million to the offering affordable housing and Jake Wray (250)692-3434
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_24_2025 1.pdf | Page 6 | Context: Aboutus: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 09_24_2025 1.pdf | Page 8 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_01_2025 1.pdf | Page 2 | Context: Jake Wray out of BC Emergen-
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_01_2025 1.pdf | Page 3 | Context: Jake Wray Bachelor of Laws at the University Artists’
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_01_2025 1.pdf | Page 4 | Context: MULTI-MEDIA JOURNALIST: JAKE WRAY
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_01_2025 1.pdf | Page 9 | Context: Jake Wray Search organizers asked that
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_08_2025 1.pdf | Page 3 | Context: Jake Wray before contacting police. threat to the hospital, its staff, or the public.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_08_2025 1.pdf | Page 4 | Context: By Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_08_2025 1.pdf | Page 5 | Context: Jake Wray on3rdAve.inBurnsLake.
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_15_2025 1.pdf | Page 1 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_15_2025 1.pdf | Page 2 | Context: Jake Wray Equipment will be on accessibility, reduce a major focus, includ- lumber or rocks to help the BC Parks Universal
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_15_2025 1.pdf | Page 4 | Context: Terminator, The Matrix etc.), in which hu- It was all fine and good, as long as it crats have advanced the idea of a universal By Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_22_2025 1.pdf | Page 7 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_22_2025 1.pdf | Page 10 | Context: Jake Wray capital projects. means until you see ment of an LNG Can- “Our LNG is much been to the port, it’s
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_29_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_29_2025 1.pdf | Page 4 | Context: But you really want your Oct. 31 to be It’s a good idea to travel in groups and heart. Jake Wray
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 10_29_2025 1.pdf | Page 5 | Context: Jake Wray source,” she stated. “I YourHosts:
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 11_05_2025 1.pdf | Page 4 | Context: Jake Wray According to an away without further
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 11_05_2025 1.pdf | Page 5 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 01_22_2026 1.pdf | Page 2 | Context: Jake Wray solace in knowing she is no longer in pain.
MATCH: Terrace Standard Terrace Standard 01_22_2026 1.pdf | Page 3 | Context: Jake Wray In the building numbers, sponse trends in a biannual
MATCH: Terrace Standard Terrace Standard 01_22_2026 1.pdf | Page 4 | Context: Classifieds: bcclassifieds@blackpress.ca THOM BARKER JOE GRIFFITH JAKE WRAY CHAYO NYAWELLO
MATCH: Terrace Standard Terrace Standard 01_29_2026 1.pdf | Page 1 | Context: of the primary contractors on the project. (Jake Wray/Terrace Standard)
MATCH: Terrace Standard Terrace Standard 01_29_2026 1.pdf | Page 2 | Context: Jake Wray structure work if it met specific tion confirmed the “construc-
MATCH: Terrace Standard Terrace Standard 01_29_2026 1.pdf | Page 4 | Context: Classifieds: bcclassifieds@blackpress.ca THOM BARKER JOE GRIFFITH JAKE WRAY CHAYO NYAWELLO
MATCH: Terrace Standard Terrace Standard 04_03_2025 7.pdf | Page 7 | Context: Jake Wray doors in communities through- to the party’s website.
MATCH: Terrace Standard Terrace Standard 04_24_2025 10.pdf | Page 10 | Context: Jake Wray member Jonathan Dieleman. vative MPs presented the petition in the House of
MATCH: Terrace Standard Terrace Standard 05_08_2025 1.pdf | Page 1 | Context: Jake Wray victories.
MATCH: Terrace Standard Terrace Standard 05_08_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 06_19_2025 11.pdf | Page 10 | Context: season reported by the Weather Network, a May west B.C. until Sept. 29, or until a notice ending The BC Wildfire Service warned of serious con- With files from Jake Wray
MATCH: Terrace Standard Terrace Standard 06_19_2025 11.pdf | Page 11 | Context: Jake Wray regulatory oversight.
MATCH: Terrace Standard Terrace Standard 08_14_2025 1.pdf | Page 2 | Context: Jake Wray hard work and dedication from our leadership
MATCH: Terrace Standard Terrace Standard 08_14_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 08_21_2025 1.pdf | Page 1 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 08_21_2025 1.pdf | Page 2 | Context: Jake Wray
